Word,Freq,POS
abrasive,23,Adjective
aluminum,115,ELSE
bald,496,Adjective
barbed,67,Adjective
bark,280,ELSE
beaded,11,Adjective
blunt,250,Adjective
bony,61,Adjective
brassy,6,Adjective
brick,519,ELSE
bristly,1,Adjective
brittle,71,Adjective
broken,3634,ELSE
bubbly,70,Adjective
bumpy,190,Adjective
callused,3,Adjective
canvas,216,ELSE
ceramic,62,Adjective
chalky,6,Adjective
clean,6183,Adjective
cloth,311,ELSE
coarse,69,Adjective
coated,19,Adjective
comfortable,2408,Adjective
corroded,13,Adjective
cotton,723,ELSE
cracked,492,Adjective
creamy,60,Adjective
crevices,5,ELSE
crinkled,3,Adjective
crinkly,4,Adjective
crisp,161,Adjective
crumbly,6,Adjective
crumpled,27,Adjective
crushed,431,Adjective
crusty,54,Adjective
cuddly,71,Adjective
cushioned,5,Adjective
cushy,36,Adjective
delicate,485,Adjective
dented,38,Adjective
disjointed,8,Adjective
dusty,283,Adjective
etched,26,Adjective
fabric,245,ELSE
feathered,34,Adjective
felt,6111,ELSE
fiberglass,24,ELSE
fibrous,13,Adjective
filmy,4,Adjective
fine,30502,Adjective
firm,1799,Adjective
flabby,41,Adjective
flannel,70,ELSE
flat,1337,Adjective
flimsy,42,Adjective
fluffy,185,Adjective
fluid,456,ELSE
foamy,14,Adjective
formica,16,ELSE
frayed,23,Adjective
frizzy,18,Adjective
furry,122,Adjective
fuzzy,297,Adjective
gelatinous,9,Adjective
glass,3096,ELSE
glassy,18,Adjective
gluey,3,Adjective
gnarled,3,Adjective
gooey,39,Adjective
goopy,5,Adjective
grainy,10,Adjective
granular,2,Adjective
gravelly,1,Adjective
greasy,199,Adjective
grimy,26,Adjective
grooved,3,Adjective
hairy,322,Adjective
hard,15700,Adjective
harsh,362,Adjective
holey,6,Adjective
icy,135,Adjective
indestructible,74,Adjective
inflexible,8,Adjective
jagged,29,Adjective
knitted,33,Adjective
knobby,4,Adjective
lacy,32,Adjective
leather,693,ELSE
limp,187,Adjective
lubricated,18,Adjective
lumpy,89,Adjective
matted,5,Adjective
melted,201,Adjective
metal,992,ELSE
metallic,67,Adjective
muscular,79,Adjective
mushy,77,Adjective
nylon,69,ELSE
oily,49,Adjective
painted,710,Adjective
papery,4,Adjective
peeling,56,ELSE
perforated,24,Adjective
plastic,957,ELSE
plush,28,Adjective
pointy,104,Adjective
polished,102,Adjective
powder,818,ELSE
prickly,29,Adjective
puffy,86,Adjective
ragged,80,Adjective
ribbed,18,Adjective
ridged,2,Adjective
rigid,95,Adjective
rippled,4,Adjective
rocky,807,Adjective
rough,1907,Adjective
rubbery,9,Adjective
rugged,102,Adjective
rust,127,ELSE
sandy,1186,Adjective
satiny,2,Adjective
scaly,16,Adjective
scratchy,49,Adjective
scrunchy,8,Adjective
sequined,14,Adjective
serrated,12,Adjective
sharp,1213,Adjective
shiny,398,Adjective
silky,40,Adjective
sleek,43,Adjective
slick,350,Adjective
slimy,159,Adjective
slippery,225,Adjective
smooth,932,Adjective
soft,1633,Adjective
soggy,50,Adjective
solid,998,Adjective
spiky,11,Adjective
spongy,12,Adjective
squishy,38,Adjective
starched,14,Adjective
steel,941,ELSE
stiff,523,Adjective
stubbly,2,Adjective
suede,92,ELSE
tender,453,Adjective
textured,9,Adjective
thorny,36,Adjective
tin,441,ELSE
tough,4616,Adjective
varnished,5,Adjective
velour,22,ELSE
velvety,8,Adjective
waxy,20,Adjective
wooden,367,Adjective
woolly,24,Adjective
woven,32,Adjective