Language,ISO_code,Dataset,Family,Branch,Area,Continent
Widi/Cheangwa,NA,Chirila,Pama-Nyungan,Southwestern Pama-Nyungan,S Australia,Australia
Mary River and Bunya Bunya Country,NA,Chirila,Pama-Nyungan,Waka-Kabic,S Australia,Australia
Natal Downs,NA,Chirila,Pama-Nyungan,Maric,S Australia,Australia
Yugarabul,NA,Chirila,Pama-Nyungan,Durubalic,S Australia,Australia
Ng'goi Mwoi,NA,Chirila,Pama-Nyungan,Bandjalangic,S Australia,Australia
Coonambella,NA,Chirila,Pama-Nyungan,Dyirbalic,N Australia,Australia
Pikwurrung,NA,Chirila,Pama-Nyungan,Southeastern Pama-Nyungan,S Australia,Australia
Upper Clarence River,NA,Chirila,Pama-Nyungan,Bandjalangic,S Australia,Australia
Kaado,NA,Reflex,Nilo-Saharan,Songhay,African Savannah,Africa
Gevia,NA,Reflex,Benue-Congo,Bantoid,S Africa,Africa
Yoo_mbe,NA,Reflex,Benue-Congo,Bantoid,S Africa,Africa
Nembe,NA,Reflex,Benue-Congo,Ijoid,African Savannah,Africa
Cuoi,NA,IDS,Austroasiatic,Vietic,Southeast Asia,S/SE Asia
LiHa,NA,IDS,Austroasiatic,Vietic,Southeast Asia,S/SE Asia
LiHa,NA,IDS,Austroasiatic,Vietic,Southeast Asia,S/SE Asia
Tum,NA,IDS,Austroasiatic,Vietic,Southeast Asia,S/SE Asia
Kha Poong,NA,IDS,Austroasiatic,Vietic,Southeast Asia,S/SE Asia
Malieng,NA,IDS,Austroasiatic,Vietic,Southeast Asia,S/SE Asia
KNB (a Pearic variety),NA,IDS,Austroasiatic,Pearic,Southeast Asia,S/SE Asia