Word,RoughnessMean,HardnessMean,MainYear,EtymonYear,Etymology,Origin,IE_root_watkins_2000,DetailedForm_watkins_2000,AlternativeForm,CommentOnOEDFullSense
abrasive,6.3,4.2,1601,,,Latin,NA,NA,,
aluminum,-2.6,1.8,1811,1788,alumine,French borrowing,NA,NA,,
bald,-4.1,NA,1297,,,uncertain origin,NA,NA,,
barbed,6.3,3.6,a1529,?c1450/a1500,barb,French borrowing,NA,NA,barb bhardh-a (if it goes back to beard?),
bark,4.3,1.9,a1300,,,Scandinavian/Germanic,bherg,bherg,,
beaded,3,1.5,1577,c855,bead,Germanic,gwhedh-,gwhedh-,prayer,
blunt,0.5,NA,?c1200,,,Etymology unknown,NA,NA,,
bony,2.5,4.3,a1535,c1000,bone,Germanic,NA,NA,,
brassy,-2.3,2.1,1582,c1000,brass,unknown origin,ferrum,ferrum,,
brick,1.7,5.8,c1440,,,probably French,NA,NA,,
bristly,4.4,2.6,1591,a1000/c1314,bristle,Germanic,bhars-,bhars-,bristle,
brittle,NA,0.8,a1382,OE,brit,Germanic,bhreu-,bhreu-,,
broken,3.1,NA,c1200,a1000,break,Germanic,bhreg-,bhreg-,break,
bubbly,-3.3,-3.5,1599,c1303,burble,origin uncertain; suggested onomatopoeia,NA,NA,,"burble > bubble > bubbly; The English word can hardly have any actual connection with these, except as a parallel onomatopoeia, expressing the sound made by the agitation, issuing forth, or flowing of a liquid mixed with vesicles of air or gas. Of this the later bubble n. appears to have been either a simple variant or a conscious modification."
bumpy,3.3,NA,1865,1611,bump,Onomatopoeia,NA,NA,,Onomatopoeic: the v.n. of action being probably coeval.
callused,4.2,NA,1819,1578,callous,Latin,kal-,kal-,callous; from Latin hard,callous
canvas,-0.3,-1.4,1260,,,French borrowing,kannabis,kannabis,,
ceramic,-2.5,2.8,1850,,,Greek through French,ker-,ker-4,,
chalky,-1.1,-2.3,c1400,c700,chalk,Germanic,NA,NA,,
clean,NA,-3.3,883,,,Germanic,gel-,gel-1,,
cloth,-2.4,-2.4,a800,,,Germanic,NA,NA,,
coarse,5.4,2.7,1424,,,unknown origin,NA,NA,,"started off meaning ordinary, common, mean!!"
coated,-2.8,NA,1566,c1300,coat,French borrowing,NA,NA,,
comfortable,NA,-4.8,c1460,c1290,comfort,French borrowing,NA,NA,,"original meaning:  trans. To strengthen (morally or spiritually); to encourage, hearten, inspirit, incite. Obs."
corroded,3.5,NA,1604,c1400,corrode,Latin through French,red-,red-,,
cotton,-3.7,-4.1,c1400,,,French borrowing,NA,NA,,
cracked,3.5,NA,c1000,,crack,Germanic,gere-,gere-,,entry of 'crack'
craterous,3.6,2.8,1730,,,Latin,kere-,kere-,,
creamy,-4.8,-4.8,1610,1332,cream,French borrowing,ghrei-,ghrei-,,
crevices,3.9,NA,1382,,,French borrowing,ker-,ker-2,,
crinkled,2.4,0.3,1558,c1386,crinkle,probably Germanic,ger-,ger-,crinkle,
crinkly,2.7,0.8,1750,c1386,crinkle,probably Germanic,ger-,ger-,crinkle,
crisp,2,1.8,c900,,,Latin,(s)ker-,(s)ker-3,,
crumbly,3.2,-0.5,?1523,c975,crumb,Germanic,NA,NA,,
crumpled,3.1,NA,a1400,a800,crump,Germanic,g(e)r-,g(e)r-,crumple,
crushed,NA,1,a1616,1398,crush,French,NA,NA,,
crusty,2.9,2.6,c1400,a1330,crust,Latin / French borrowing,kreus-,kreus-,,
cuddly,NA,-5,1863,c1520,cuddle,uncertain origin,NA,NA,,
cushioned,NA,-3.8,1839,1361,cushion,French borrowing,koksa-,koksa-,cushion,
cushiony,NA,-4.3,1839,1361,cushion,French borrowing,koksa-,koksa-,cushion,
cushy,NA,-4.7,1887,,,Persian/Urdu borrowing,NA,NA,,
delicate,NA,-4.2,c1374,,,Latin,NA,NA,,
dented,2.4,NA,1398,c897,dint,probably Germanic,NA,NA,,
disjointed,2.7,1.4,a1643,1483,disjoin,French borrowing,yeug-,yeug-,joint,
dusty,-0.8,NA,a1225,c825,dust,Germanic,dheu-,dheu-,,
etched,2.8,NA,1847,1634,etch,Dutch,ed-,ed-,etch,entry of 'etch'
fabric,-1.9,-2.8,1483,,,French borrowing,dhabh-,dhabh-,,
feathered,-4.6,-4.8,c1150,OE,feather,Germanic,pet-,pet-,,
felt,-3.9,-3.6,c1000,,,Germanic,pel-,pel-6,,
fiberglass,2.7,3.3,1937,,,U.S. proprietary term,NA,NA,,
fibrous,2.3,NA,1657,1398,fibre,Latin / French borrowing,NA,NA,,
filmy,NA,-2.8,1661,c1000,film,Germanic,pel,pel-4,,
fine,-5.2,NA,c1200,,,French borrowing,NA,NA,,
firm,4.2,NA,a1340,,,French borrowing,dher-,dher-,,
flabby,NA,-2.8,1598,1362,flap,probably onomatopoetic,NA,NA,,onomatopoetic modification of flappy; the voiced ending in flab- as compared with flap- gives to the syllable a feebler effect suited to the meaning
flannel,-2.9,-3.5,1503,,,uncertain origin,wele-,wele-,,
flat,-2.7,NA,1296,,,Germanic,plat-,plat-,,
flimsy,NA,-2.7,1702,,,possibly onomatopoetic formation suggested by film,NA,NA,,"For the ending compareætipsy,æbumpsy; alsoælimpsy, given by Webster as a U.S. synonym ofæflimsy."
fluffy,NA,-5.9,1825,,fluff,possibly onomatopoetic formation suggested by film,NA,NA,," apparently connected with flue n.2; perhaps an onomatopoeic modification of that word, imitating the action of puffing away some light substance; "
fluid,-4.6,-4.8,1603,,,French borrowing,bhleu-,bhleu-,,
foamy,NA,-4.4,OE/c1385,a700,foam,Germanic,(s)poi-mo-,(s)poi-mo-,foam,
formica,-1.3,3.1,1922,,,Latin,NA,NA,,first meant ant
frayed,-0.8,NA,1815,1575,fray,French borrowing,bhreie-,bhreie-,,
frizzy,0.6,NA,1870,1660,frizz,French borrowing,bher-,bher-4,frizz,
furry,-2.8,-5.3,1598,13../?a1366,fur,French borrowing,pa-,pa-,fur,
fuzzy,-1.6,-4,1613,1601,fuzz,unknown origin,pu-,pu-,,Perhaps imitative of the action of blowing away light particles
gelatinous,-4.2,-4.3,1731,,,French,gel-,gel-2,gelatin?,
glass,-5.2,2.4,c888,,,Germanic,ghel-,ghel-,,
glassy,-4.3,2.3,1887,c888,glass,Germanic,ghel-,ghel-,glass,
gluey,-2.9,NA,1382,c1380,glue,French borrowing,glei-,glei-,,"A hard, brittle, brownish gelatin, obtained by boiling the hides and hoofs of animals to a jelly; when gently heated with water, it is used as a cement for uniting substances."
gnarled,4.4,NA,a1616,1608,knurled,unknown origin,NA,NA,,
gooey,-4.9,-4.3,1906,1903,goo,unknown origin,NA,NA,,
goopy,-3.6,-4.3,1926,1900,goop,arbitrary formation,NA,NA,,entry of 'goop'
grainy,3.9,1.8,1611,1398,grain,French borrowing,gre-no-,gre-no-,grain,"A single seed of a plant, esp. one which is small, hard, and roundish in form. => extended to A small, hard, usually roundish particle (e.g. of sand, gold, salt, pepper). with a grain of salt => Any of the irregularly shaped discrete particles or crystals in a rock or a metal, usu. but not necessarily small:"
granular,3.5,NA,1794,1398,grain,French borrowing,gre-no-,gre-no-,granule,
gravelly,4.1,NA,a1382,a1300,gravel,French borrowing,ghreu-,ghreu-,gravel,
greasy,-5.1,NA,?1518,a1340,grease,French borrowing,NA,NA,,
grimy,-1.2,NA,1612,1483,grime,probably Germanic,ghrei-,ghrei-,grime,
grooved,1.7,NA,1793,a1400-1450,groove,Dutch borrowing,ghrebh-,ghrebh-,,
hairy,0,-1.4,a1400,a800,hair,Germanic,NA,NA,,
hard,NA,6.3,eOE/OE/a1225,,,Germanic,kar-,kar-,,
harsh,5.5,NA,a1400,,,Germanic,NA,NA,,
holey,2,NA,1398,946,hole,Germanic,kel-,kel-2,hole,
icy,-4.3,4.8,OE(Beowulf)/1511,eOE(Metres of Boethius),ice,Germanic,eis-,eis-,ice,
indestructible,NA,6.4,1674,1297,destroy,Latin,stere-,stere-,destroy,
inflexible,NA,4.9,1398,,,Latin,NA,NA,,
jagged,6.3,NA,c1440,14€,jag,formation appears to be onomatopoetic,NA,NA,,
knitted,NA,-3.2,1855,c1000,knit,Germanic,g(e)n-,g(e)n-,knit,
knobby,2.6,1.8,1543,1398,knob,possibly Germanic,g(e)n-,g(e)n-,knob,
lacy,-1.4,-2.5,1804,13..,lace,French borrowing,NA,NA,,
leather,-2.1,-0.9,c1000,,,Germanic,letro-,letro-,,
limp,NA,-3.3,1706,,,unknown origin,kel-,kel-1,,
lubricated,-6.2,NA,1781,1623,lubricate,French borrowing 1490 'lubric',sleubh-,sleubh-,lubricate,
lumpy,2.9,NA,1707,a13800,lump,Germanic,NA,NA,,
matted,0.3,NA,1566,eOE/OE/a1387,mat,Latin,NA,NA,,
melted,NA,-3.2,OE/a1425,eOE/OE/a1325,melt,Germanic; merging of words,mel-,mel-,,
metal,NA,5.2,c1230,,,French borrowing,NA,NA,,
metallic,-1.9,2.8,a1425,c1230,metal,French borrowing,NA,NA,,
muscular,NA,3.1,1670,a1398,muscle,French borrowing,mus-,mus-,muscle,
mushy,NA,-5.3,1768,eOE/lOE/1587,mash,apparently an imitative alteration of 'mash',mu-,mu-,mush?,
nonbreakable,NA,5.3,1570,a1000,break,Germanic,bhreg-,bhreg-,break,entry of 'breakable'
nylon,-2.6,-2.7,1938,,,apparently an arbitrary formation of rayon and cotton,NA,NA,,
oily,-6.2,NA,c1475,1221,oil,French borrowing,elaia,elaia,oil,
painted,-3,NA,a1382,c1275,paint,French borrowing,peig-,peig-,paint,
papery,-3.2,NA,1602,1341,paper,French borrowing,NA,NA,,
pebbly,3.8,3.3,1600,OE/a1425,pebble,origin uncertain,NA,NA,,
peeling,0.8,NA,1745,a1150,pill,"variant of 'peel', probably Germanic",pag-,pag-,,
perforated,0.4,NA,1486,?a1425,perforate,French borrowing,bher-,bher-2,perforate,
plastic,-4.1,NA,1598,,,Latin,pele-,pele-,,
plush,NA,-5.1,1590,,,French borrowing,pilo-,pilo-,,
pointy,NA,3.2,1644,?a1200/c1230,point,complex,peuk-,peuk-,point,
polished,-5.3,NA,a1382,a1382,polish,French borrowing,pel-,pel-6,polish,To make smooth (and usually glossy) by friction; (in later use also) to apply polish to or rub polish into. Also withæup. Also: to make bright (obs.ærare). => weakening of friction sense?
powder,-4.3,-4.3,a1300,,,French borrowing,pel-,pel-1,,
prickly,5.2,3.6,1577,OE/lOE/c1400,prickle,Germanic,NA,NA,,
puffy,NA,-5.3,a1594,OE/lOE/?c1225,puff,possibly imitative formation,beu-,beu-,,
ragged,3.3,NA,c1300,,,origin uncertain,reue-,reue-,rag,
ribbed,3.4,NA,a1425/?1523,eOE/OE/?a1200,rib,Germanic,rebh-,rebh-,rib,
ridged,3.1,NA,c1225/?c1200,eOE/OE/c1150,ridge,Germanic,(s)ker-,(s)ker-2,ridge,
rigid,NA,4.9,?a1425/1615,,,Latin / French borrowing,reig-,reig-,,
rippled,3.1,NA,1724,c1350,ripple,Germanic,rei-,rei-,ripple,
rocky,4.8,4.4,?c1475,OE/c1250,rock,French borrowing,NA,NA,,
rough,6.2,NA,OE/?c1225,,,Germanic,reue-,reue-,,
rubbery,NA,-2,1879,a1325/1478,rub/rubber,origin uncertain,NA,NA,,"rub = 'to apply pressure and friction', rubber = 'a sharp iron instrument in cutting off the superfluous nap of worsted'"
rugged,4,NA,?a1300/c1330,,,origin uncertain,reue-,reue-,rug,
rust,3.5,NA,eOE/OE/?c1225,,,Germanic,reudh-,reudh-,,
sandy,3.9,NA,c1000,c825/c1000,sand,Germanic,bhes-,bhes-,sand,
satiny,-5.3,-5,1786,?a1366,satin,French,NA,NA,,
scaly,1.9,NA,1528,?a1200/c1275,scale,Germanic,(s)kel-,(s)kel-,scale,
scratchy,5,NA,1710,1474,scratch,"apparently produced by a confusion of the synonymous scrat n., cratch v.",grat-,grat-,scratch,
scrunchy,0.6,NA,?1905,1806,craunch,variation of cranch,NA,NA,,
sequined,3.3,NA,1894,1613,sequin,French borrowing,NA,NA,,entry of 'sequin'
serrated,4,NA,1703,1668,serrate,late Latin borrowing,NA,NA,,
sharp,NA,3.4,c825/a1225,,,Germanic,(s)ker-,(s)ker-1,,
shiny,-4.2,NA,1590,c725,shine,Germanic,skai-,skai-,shine,
silky,-5.9,-5.7,1611,c888,silk,commonly supposed to be Latin,NA,NA,,
sleek,-4.6,NA,1600,?a1366,slick,later variant of 'slick'; Germanc,NA,NA,,
slick,-5.5,NA,?a1366,,,Germanic,(s)lei-,(s)lei-,,
slimy,-5.2,NA,1398,a1000,slime,Germanic,(s)lei-,(s)lei-,slime,
slippery,-6.2,NA,1535,a1050,slipper,alteration of 'slipper',(s)lei-,(s)lei-,,
smooshy,NA,-5.1,NA,NA,NA,NA,NA,NA,,
smooth,-6.9,NA,a1050,c725,smeeth,Germanic,NA,NA,,
soft,NA,-6.3,c1000,,,Germanic,NA,NA,,
soggy,NA,-4.3,a1722,a1552,sog,of obscure origin,NA,NA,,
solid,NA,5.9,c1400,,,French borrowing,sol-,sol-,,
spiky,5.8,3.8,1578,1393,spike,Latin,NA,NA,,
spongy,NA,-3.7,1539,c1000,sponge,"Greek through Latin, OE",NA,NA,,
squeezable,NA,-3.8,1813,1601,squeeze,perhaps strengthened form of 'quease',NA,NA,,
squishy,NA,-4.6,1847,1647,squish,imitative,NA,NA,,
starched,NA,1.3,1617,c1000,stark,Germanic,ster-,ster-,starch,
steel,NA,5.3,c725,,,Germanic,NA,NA,,
stiff,NA,4.9,1000,,,Germanic,steip-,steip-,,
stubbly,5,1.8,1600,1297,stubble,French borrowing,steip-,steip-,stubble,
suede,-3.6,-3.3,1859,,,French borrowing,NA,NA,,
tender,NA,-5,?a1200/?c1225,,,French borrowing,ten-,ten-,,
textured,0.8,NA,1888,1447,texture,Latin (through French?),NA,NA,,
thorny,5.8,NA,a1023,c950/OE/c1000,thorn,Germanic,(s)ter-n-,(s)ter-n-,thorn,
tin,-1.8,2.3,c897,,,Germanic,NA,NA,,
tough,NA,4.7,a700,,,Germanic,denk-,denk-,,
varnished,-3.7,NA,1553,1341-1342,varnish,French borrowing,NA,NA,,
velour,NA,-3.8,1706,1587,velure,French borrowing,wel-,wel-,,
velvety,-5.3,-5.3,1752,1320,velvet,Latin,wel-,wel-,velvet,
wafflish,1.6,NA,1930,1295,wafer,French borrowing,webh-,webh-,waffle,entry of 'waffle'; used the textile sense
waxy,-3.6,NA,1552,805-810,wax,Germanic,wokso-,wokso-,wax,
wooden,1.3,3.8,1538,c725/OE,wood,Germanic,widhu-,widhu-,wood,
woolly,0,-1.5,1591,c725,wool,Germanic,wele-,wele-,wool,
woven,-0.2,NA,c1478/1488,c900,weave,Germanic,webh-,webh-,weave,