Word,Roughness,Hardness
abrasive,6.3,4.2
aluminum,-2.6,1.8
bald,-4.1,NA
barbed,6.3,3.6
bark,4.3,1.9
beaded,3,1.5
blunt,0.5,NA
bony,2.5,4.3
brassy,-2.3,2.1
brick,1.7,5.8
bristly,4.4,2.6
brittle,NA,0.8
broken,3.1,NA
bubbly,-3.3,-3.5
bumpy,3.3,NA
callused,4.2,NA
canvas,-0.3,-1.4
ceramic,-2.5,2.8
chalky,-1.1,-2.3
clean,NA,-3.3
cloth,-2.4,-2.4
coarse,5.4,2.7
coated,-2.8,NA
comfortable,NA,-4.8
corroded,3.5,NA
cotton,-3.7,-4.1
cracked,3.5,NA
craterous,3.6,2.8
creamy,-4.8,-4.8
crevices,3.9,NA
crinkled,2.4,0.3
crinkly,2.7,0.8
crisp,2,1.8
crumpled,3.1,NA
crumbly,3.2,-0.5
crushed,NA,1
crusty,2.9,2.6
cuddly,NA,-5
cushioned,NA,-3.8
cushiony,NA,-4.3
cushy,NA,-4.7
delicate,NA,-4.2
dented,2.4,NA
disjointed,2.7,1.4
dusty,-0.8,NA
etched,2.8,NA
fabric,-1.9,-2.8
feathered,-4.6,-4.8
felt,-3.9,-3.6
fiberglass,2.7,3.3
fibrous,2.3,NA
filmy,NA,-2.8
fine,-5.2,NA
firm,4.2,NA
flabby,NA,-2.8
flannel,-2.9,-3.5
flat,-2.7,NA
flimsy,NA,-2.7
fluffy,NA,-5.9
fluid,-4.6,-4.8
foamy,NA,-4.4
formica,-1.3,3.1
frayed,-0.8,NA
frizzy,0.6,NA
furry,-2.8,-5.3
fuzzy,-1.6,-4
gelatinous,-4.2,-4.3
glass,-5.2,2.4
glassy,-4.3,2.3
gluey,-2.9,NA
gnarled,4.4,NA
gooey,-4.9,-4.3
goopy,-3.6,-4.3
grainy,3.9,1.8
granular,3.5,NA
gravelly,4.1,NA
greasy,-5.1,NA
grimy,-1.2,NA
grooved,1.7,NA
hairy,0,-1.4
hard,NA,6.3
harsh,5.5,NA
holey,2,NA
icy,-4.3,4.8
indestructible,NA,6.4
inflexible,NA,4.9
jagged,6.3,NA
knitted,NA,-3.2
knobby,2.6,1.8
lacy,-1.4,-2.5
leather,-2.1,-0.9
limp,NA,-3.3
lubricated,-6.2,NA
lumpy,2.9,NA
matted,0.3,NA
melted,NA,-3.2
metal,NA,5.2
metallic,-1.9,2.8
muscular,NA,3.1
mushy,NA,-5.3
nonbreakable,NA,5.3
nylon,-2.6,-2.7
oily,-6.2,NA
painted,-3,NA
papery,-3.2,NA
pebbly,3.8,3.3
peeling,0.8,NA
perforated,0.4,NA
plastic,-4.1,NA
plush,NA,-5.1
pointy,NA,3.2
polished,-5.3,NA
powder,-4.3,-4.3
prickly,5.2,3.6
puffy,NA,-5.3
ragged,3.3,NA
ribbed,3.4,NA
ridged,3.1,NA
rigid,NA,4.9
rippled,3.1,NA
rocky,4.8,4.4
rough,6.2,NA
rubbery,NA,-2
rugged,4,NA
rust,3.5,NA
sandy,3.9,NA
satiny,-5.3,-5
scaly,1.9,NA
scratchy,5,NA
scrunchy,0.6,NA
sequined,3.3,NA
serrated,4,NA
sharp,NA,3.4
shiny,-4.2,NA
silky,-5.9,-5.7
sleek,-4.6,NA
slick,-5.5,NA
slimy,-5.2,NA
slippery,-6.2,NA
smooshy,NA,-5.1
smooth,-6.9,NA
soft,NA,-6.3
soggy,NA,-4.3
solid,NA,5.9
spiky,5.8,3.8
spongy,NA,-3.7
squeezable,NA,-3.8
squishy,NA,-4.6
starched,NA,1.3
steel,NA,5.3
stiff,NA,4.9
stubbly,5,1.8
suede,-3.6,-3.3
tender,NA,-5
textured,0.8,NA
thorny,5.8,NA
tin,-1.8,2.3
tough,NA,4.7
varnished,-3.7,NA
velour,NA,-3.8
velvety,-5.3,-5.3
wafflish,1.6,NA
waxy,-3.6,NA
wooden,1.3,3.8
woolly,0,-1.5
woven,-0.2,NA